Landsat Product Identifier L2,Landsat Product Identifier L1,Landsat Scene Identifier,Date Acquired,Collection Category,Collection Number,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Nadir/Off Nadir,Roll Angle,Date Product Generated L2,Date Product Generated L1,Start Time,Stop Time,Station Identifier,Day/Night Indicator,Land Cloud Cover,Scene Cloud Cover L1,Ground Control Points Model,Ground Control Points Version,Geometric RMSE Model,Geometric RMSE Model X,Geometric RMSE Model Y,Processing Software Version,Sun Elevation L0RA,Sun Azimuth L0RA,TIRS SSM Model,Data Type L2,Sensor Identifier,Satellite,Product Map Projection L1,UTM Zone,Datum,Ellipsoid,Scene Center Lat DMS,Scene Center Long DMS,Corner Upper Left Lat DMS,Corner Upper Left Long DMS,Corner Upper Right Lat DMS,Corner Upper Right Long DMS,Corner Lower Left Lat DMS,Corner Lower Left Long DMS,Corner Lower Right Lat DMS,Corner Lower Right Long DMS,Scene Center Latitude,Scene Center Longitude,Corner Upper Left Latitude,Corner Upper Left Longitude,Corner Upper Right Latitude,Corner Upper Right Longitude,Corner Lower Left Latitude,Corner Lower Left Longitude,Corner Lower Right Latitude,Corner Lower Right Longitude,Display ID,Entity ID
LC08_L2SP_035031_20160104_20200907_02_T1,LC08_L1TP_035031_20160104_20200907_02_T1,LC80350312016004LGN01,2016/01/04,T1,2, 035, 031, 035, 031,NADIR,   0.000,2020/09/07,2020/09/07,2016-01-04 17:49:04.737622,2016-01-04 17:49:36.507618,LGN,DAY,  21.95,  21.95,269,5,    9.307,    6.550,    6.613,LPGS_15.3.1c,22.72313048,159.27485877,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,13,WGS84,WGS84,41°45'33.88"N,106°51'25.92"W,42°47'56.87"N,108°20'00.46"W,42°50'48.52"N,105°26'48.12"W,40°38'46.93"N,108°13'26"W,40°41'26.12"N,105°25'55.13"W, 41.75941,-106.85720, 42.79913,-108.33346, 42.84681,-105.44670, 40.64637,-108.22389, 40.69059,-105.43198,LC08_L2SP_035031_20160104_20200907_02_T1,LC80350312016004LGN01
LC08_L2SP_035032_20160104_20200907_02_T1,LC08_L1TP_035032_20160104_20200907_02_T1,LC80350322016004LGN01,2016/01/04,T1,2, 035, 032, 035, 032,NADIR,   0.000,2020/09/07,2020/09/07,2016-01-04 17:49:28.615951,2016-01-04 17:50:00.385948,LGN,DAY,   0.63,   0.63,511,5,    8.971,    5.888,    6.769,LPGS_15.3.1c,23.95673012,158.70581829,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,13,WGS84,WGS84,40°19'58.80"N,107°19'09.44"W,41°22'12.36"N,108°46'07.18"W,41°25'40.69"N,105°56'48.01"W,39°12'54.36"N,108°39'02.34"W,39°16'07.46"N,105°55'01.02"W, 40.33300,-107.31929, 41.37010,-108.76866, 41.42797,-105.94667, 39.21510,-108.65065, 39.26874,-105.91695,LC08_L2SP_035032_20160104_20200907_02_T1,LC80350322016004LGN01
LC08_L2SP_035033_20160104_20200907_02_T1,LC08_L1TP_035033_20160104_20200907_02_T1,LC80350332016004LGN01,2016/01/04,T1,2, 035, 033, 035, 033,NADIR,   0.000,2020/09/07,2020/09/07,2016-01-04 17:49:52.502753,2016-01-04 17:50:24.272749,LGN,DAY,  26.40,  26.40,526,5,    9.019,    5.950,    6.778,LPGS_15.3.1c,25.18651213,158.12978022,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,13,WGS84,WGS84,38°54'16.52"N,107°45'59.76"W,39°56'23.57"N,109°11'27.06"W,40°00'24.95"N,106°25'33.06"W,37°46'57.79"N,109°03'57.17"W,37°50'41.39"N,106°22'59.52"W, 38.90459,-107.76660, 39.93988,-109.19085, 40.00693,-106.42585, 37.78272,-109.06588, 37.84483,-106.38320,LC08_L2SP_035033_20160104_20200907_02_T1,LC80350332016004LGN01
LC08_L2SP_033031_20160106_20200907_02_T1,LC08_L1TP_033031_20160106_20200907_02_T1,LC80330312016006LGN01,2016/01/06,T1,2, 033, 031, 033, 031,NADIR,   0.000,2020/09/07,2020/09/07,2016-01-06 17:36:42.159765,2016-01-06 17:37:13.929762,LGN,DAY,   0.55,   0.55,214,5,    8.249,    6.063,    5.594,LPGS_15.3.1c,22.87751208,158.99068396,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,13,WGS84,WGS84,41°45'35.35"N,103°45'49"W,42°49'04.26"N,105°09'23.69"W,42°47'12.77"N,102°19'56.10"W,40°42'17.32"N,105°09'05.47"W,40°40'33.71"N,102°25'05.70"W, 41.75982,-103.76361, 42.81785,-105.15658, 42.78688,-102.33225, 40.70481,-105.15152, 40.67603,-102.41825,LC08_L2SP_033031_20160106_20200907_02_T1,LC80330312016006LGN01
LC08_L2SP_033032_20160106_20200907_02_T1,LC08_L1TP_033032_20160106_20200907_02_T1,LC80330322016006LGN01,2016/01/06,T1,2, 033, 032, 033, 032,NADIR,   0.000,2020/09/07,2020/09/07,2016-01-06 17:37:06.046566,2016-01-06 17:37:37.816563,LGN,DAY,  19.70,  19.70,305,5,    8.902,    6.041,    6.539,LPGS_15.3.1c,24.10764847,158.41632871,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,13,WGS84,WGS84,40°19'58.62"N,104°13'33.17"W,41°23'13.52"N,105°35'39.98"W,41°22'05.56"N,102°49'56.03"W,39°16'15.31"N,105°34'34.18"W,39°15'12.20"N,102°53'55.86"W, 40.33295,-104.22588, 41.38709,-105.59444, 41.36821,-102.83223, 39.27092,-105.57616, 39.25339,-102.89885,LC08_L2SP_033032_20160106_20200907_02_T1,LC80330322016006LGN01
LC08_L2SP_036031_20160111_20200907_02_T1,LC08_L1TP_036031_20160111_20200907_02_T1,LC80360312016011LGN01,2016/01/11,T1,2, 036, 031, 036, 031,NADIR,   0.000,2020/09/07,2020/09/07,2016-01-11 17:55:15.134182,2016-01-11 17:55:46.904178,LGN,DAY,  26.85,  26.85,289,5,    9.757,    6.872,    6.927,LPGS_15.3.1c,23.39477206,158.25895684,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,12,WGS84,WGS84,41°45'34.38"N,108°24'18.18"W,42°49'19.31"N,109°45'29.92"W,42°45'28.04"N,106°58'11.46"W,40°43'51.89"N,109°47'52.84"W,40°40'16.90"N,107°05'53.99"W, 41.75955,-108.40505, 42.82203,-109.75831, 42.75779,-106.96985, 40.73108,-109.79801, 40.67136,-107.09833,LC08_L2SP_036031_20160111_20200907_02_T1,LC80360312016011LGN01
LC08_L2SP_036033_20160111_20200907_02_T1,LC08_L1TP_036033_20160111_20200907_02_T1,LC80360332016011LGN01,2016/01/11,T1,2, 036, 033, 036, 033,NADIR,   0.000,2020/09/07,2020/09/07,2016-01-11 17:56:02.907784,2016-01-11 17:56:34.677781,LGN,DAY,  14.92,  14.92,807,5,    8.002,    5.695,    5.621,LPGS_15.3.1c,25.83035251,157.07218832,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,12,WGS84,WGS84,38°54'15.26"N,109°18'52.13"W,39°57'39.78"N,110°37'48.04"W,39°55'17.29"N,107°56'54.38"W,37°51'37.87"N,110°38'26.74"W,37°49'25.57"N,108°02'12.95"W, 38.90424,-109.31448, 39.96105,-110.63001, 39.92147,-107.94844, 37.86052,-110.64076, 37.82377,-108.03693,LC08_L2SP_036033_20160111_20200907_02_T1,LC80360332016011LGN01
LC08_L2SP_036034_20160111_20200907_02_T1,LC08_L1TP_036034_20160111_20200907_02_T1,LC80360342016011LGN01,2016/01/11,T1,2, 036, 034, 036, 034,NADIR,   0.000,2020/09/07,2020/09/07,2016-01-11 17:56:26.794586,2016-01-11 17:56:58.564583,LGN,DAY,   9.57,   9.57,781,5,    9.189,    6.436,    6.559,LPGS_15.3.1c,27.04074890,156.46514736,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,12,WGS84,WGS84,37°28'27.88"N,109°44'53.12"W,38°31'44"N,111°02'49.34"W,38°30'01.30"N,108°24'54.94"W,36°25'30.32"N,111°02'44.66"W,36°23'55.10"N,108°29'11.87"W, 37.47441,-109.74809, 38.52889,-111.04704, 38.50036,-108.41526, 36.42509,-111.04574, 36.39864,-108.48663,LC08_L2SP_036034_20160111_20200907_02_T1,LC80360342016011LGN01
LC08_L2SP_034031_20160113_20200907_02_T1,LC08_L1TP_034031_20160113_20200907_02_T1,LC80340312016013LGN01,2016/01/13,T1,2, 034, 031, 034, 031,NADIR,   0.000,2020/09/07,2020/09/07,2016-01-13 17:42:53.818921,2016-01-13 17:43:25.588918,LGN,DAY,  16.24,  16.24,281,5,    8.311,    5.851,    5.902,LPGS_15.3.1c,23.65006725,157.96449738,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,13,WGS84,WGS84,41°45'34.99"N,105°19'06.56"W,42°48'35.82"N,106°45'09.68"W,42°49'05.02"N,103°53'52.22"W,40°40'34.46"N,106°41'44.12"W,40°41'01.57"N,103°56'01.54"W, 41.75972,-105.31849, 42.80995,-106.75269, 42.81806,-103.89784, 40.67624,-106.69559, 40.68377,-103.93376,LC08_L2SP_034031_20160113_20200907_02_T1,LC80340312016013LGN01
LC08_L2SP_034034_20160113_20200907_02_T1,LC08_L1TP_034034_20160113_20200907_02_T1,LC80340342016013LGN01,2016/01/13,T1,2, 034, 034, 034, 034,NADIR,   0.000,2020/09/07,2020/09/07,2016-01-13 17:44:05.483562,2016-01-13 17:44:37.253558,LGN,DAY,  11.38,  11.38,300,5,    9.508,    6.388,    7.043,LPGS_15.3.1c,27.28351308,156.14873139,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,13,WGS84,WGS84,37°28'27.62"N,106°39'41.29"W,38°30'50.72"N,108°01'36.19"W,38°33'09.83"N,105°20'35.34"W,36°22'21.50"N,107°56'29.72"W,36°24'30.28"N,105°20'00.53"W, 37.47434,-106.66147, 38.51409,-108.02672, 38.55273,-105.34315, 36.37264,-107.94159, 36.40841,-105.33348,LC08_L2SP_034034_20160113_20200907_02_T1,LC80340342016013LGN01
LC08_L2SP_034035_20160113_20200907_02_T1,LC08_L1TP_034035_20160113_20200907_02_T1,LC80340352016013LGN01,2016/01/13,T1,2, 034, 035, 034, 035,NADIR,   0.000,2020/09/07,2020/09/07,2016-01-13 17:44:29.370363,2016-01-13 17:45:01.14036,LGN,DAY,   0.63,   0.63,623,5,    7.687,    5.177,    5.682,LPGS_15.3.1c,28.48386220,155.52180649,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,13,WGS84,WGS84,36°02'35.52"N,107°04'57.29"W,37°04'53"N,108°25'39.40"W,37°07'41.81"N,105°47'45.35"W,34°56'15.14"N,108°20'09.35"W,34°58'51.28"N,105°46'28.52"W, 36.04320,-107.08258, 37.08139,-108.42761, 37.12828,-105.79593, 34.93754,-108.33593, 34.98091,-105.77459,LC08_L2SP_034035_20160113_20200907_02_T1,LC80340352016013LGN01
LC08_L2SP_032035_20160115_20200907_02_T1,LC08_L1TP_032035_20160115_20200907_02_T1,LC80320352016015LGN01,2016/01/15,T1,2, 032, 035, 032, 035,NADIR,   0.000,2020/09/07,2020/09/07,2016-01-15 17:32:07.944986,2016-01-15 17:32:39.714982,LGN,DAY,  13.62,  13.62,641,5,    7.053,    4.305,    5.586,LPGS_15.3.1c,28.74980748,155.19522351,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,13,WGS84,WGS84,36°02'36.60"N,103°59'41.32"W,37°05'43.76"N,105°16'20.35"W,37°04'23.92"N,102°41'26.12"W,34°59'28.36"N,105°15'54.61"W,34°58'14.41"N,102°45'04.25"W, 36.04350,-103.99481, 37.09549,-105.27232, 37.07331,-102.69059, 34.99121,-105.26517, 34.97067,-102.75118,LC08_L2SP_032035_20160115_20200907_02_T1,LC80320352016015LGN01
LC08_L2SP_035035_20160120_20200907_02_T1,LC08_L1TP_035035_20160120_20200907_02_T1,LC80350352016020LGN01,2016/01/20,T1,2, 035, 035, 035, 035,NADIR,   0.000,2020/09/07,2020/09/07,2016-01-20 17:50:40.576645,2016-01-20 17:51:12.346642,LGN,DAY,  15.05,  15.05,609,5,    7.100,    5.064,    4.976,LPGS_15.3.1c,29.54135691,154.36537609,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,12,WGS84,WGS84,36°02'36.28"N,108°37'58.84"W,37°06'04.82"N,109°52'52.97"W,37°02'58.78"N,107°19'31.48"W,35°00'49.18"N,109°54'37.98"W,34°57'56.74"N,107°25'15.56"W, 36.04341,-108.63301, 37.10134,-109.88138, 37.04966,-107.32541, 35.01366,-109.91055, 34.96576,-107.42099,LC08_L2SP_035035_20160120_20200907_02_T1,LC80350352016020LGN01
LC08_L2SP_033031_20160122_20200907_02_T1,LC08_L1TP_033031_20160122_20200907_02_T1,LC80330312016022LGN01,2016/01/22,T1,2, 033, 031, 033, 031,NADIR,   0.000,2020/09/07,2020/09/07,2016-01-22 17:36:43.256752,2016-01-22 17:37:15.026748,LGN,DAY,  11.25,  11.25,266,5,    7.700,    5.692,    5.185,LPGS_15.3.1c,25.14931259,156.63991485,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,13,WGS84,WGS84,41°45'34.49"N,103°46'48"W,42°49'04.19"N,105°10'16.54"W,42°47'14.28"N,102°21'02.05"W,40°42'17.24"N,105°09'56.63"W,40°40'35.15"N,102°26'09.53"W, 41.75958,-103.78000, 42.81783,-105.17126, 42.78730,-102.35057, 40.70479,-105.16573, 40.67643,-102.43598,LC08_L2SP_033031_20160122_20200907_02_T1,LC80330312016022LGN01
LC08_L2SP_033032_20160122_20200907_02_T1,LC08_L1TP_033032_20160122_20200907_02_T1,LC80330322016022LGN01,2016/01/22,T1,2, 033, 032, 033, 032,NADIR,   0.000,2020/09/07,2020/09/07,2016-01-22 17:37:07.143553,2016-01-22 17:37:38.91355,LGN,DAY,   1.12,   1.12,402,5,    7.762,    4.764,    6.128,LPGS_15.3.1c,26.34635281,156.00453300,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,13,WGS84,WGS84,40°19'57.72"N,104°14'31.63"W,41°23'13.20"N,105°36'44.57"W,41°22'06.74"N,102°51'00.54"W,39°16'14.99"N,105°35'36.78"W,39°15'13.32"N,102°54'58.39"W, 40.33270,-104.24212, 41.38700,-105.61238, 41.36854,-102.85015, 39.27083,-105.59355, 39.25370,-102.91622,LC08_L2SP_033032_20160122_20200907_02_T1,LC80330322016022LGN01
LC08_L2SP_033033_20160122_20200907_02_T1,LC08_L1TP_033033_20160122_20200907_02_T1,LC80330332016022LGN01,2016/01/22,T1,2, 033, 033, 033, 033,NADIR,   0.000,2020/09/07,2020/09/07,2016-01-22 17:37:31.026119,2016-01-22 17:38:02.796115,LGN,DAY,   1.19,   1.19,765,5,    7.429,    4.578,    5.850,LPGS_15.3.1c,27.53762559,155.35984612,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,13,WGS84,WGS84,38°54'16.38"N,104°41'21.19"W,39°57'15.44"N,106°02'18.35"W,39°56'48.91"N,103°19'50.74"W,37°50'06.43"N,106°00'28.87"W,37°49'41.81"N,103°22'46.67"W, 38.90455,-104.68922, 39.95429,-106.03843, 39.94692,-103.33076, 37.83512,-106.00802, 37.82828,-103.37963,LC08_L2SP_033033_20160122_20200907_02_T1,LC80330332016022LGN01
LC08_L2SP_033034_20160122_20200907_02_T1,LC08_L1TP_033034_20160122_20200907_02_T1,LC80330342016022LGN01,2016/01/22,T1,2, 033, 034, 033, 034,NADIR,   0.000,2020/09/07,2020/09/07,2016-01-22 17:37:54.91292,2016-01-22 17:38:26.682917,LGN,DAY,   3.06,   3.06,688,5,    7.408,    4.770,    5.668,LPGS_15.3.1c,28.72307096,154.70322599,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,13,WGS84,WGS84,37°28'29.06"N,105°07'22.19"W,38°31'21.25"N,106°27'16.49"W,38°31'31.55"N,103°47'51.83"W,36°24'01.80"N,106°24'50.54"W,36°24'11.34"N,103°49'52.50"W, 37.47474,-105.12283, 38.52257,-106.45458, 38.52543,-103.79773, 36.40050,-106.41404, 36.40315,-103.83125,LC08_L2SP_033034_20160122_20200907_02_T1,LC80330342016022LGN01
LC08_L2SP_033035_20160122_20200907_02_T1,LC08_L1TP_033035_20160122_20200907_02_T1,LC80330352016022LGN01,2016/01/22,T1,2, 033, 035, 033, 035,NADIR,   0.000,2020/09/07,2020/09/07,2016-01-22 17:38:18.808194,2016-01-22 17:38:50.57819,LGN,DAY,   1.94,   1.94,791,5,    7.138,    4.478,    5.558,LPGS_15.3.1c,29.90246101,154.03240129,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,13,WGS84,WGS84,36°02'35.09"N,105°32'38.62"W,37°05'21.84"N,106°51'19.40"W,37°06'05.54"N,104°14'57.73"W,34°57'52.34"N,106°48'22.36"W,34°58'32.77"N,104°16'09.41"W, 36.04308,-105.54406, 37.08940,-106.85539, 37.10154,-104.24937, 34.96454,-106.80621, 34.97577,-104.26928,LC08_L2SP_033035_20160122_20200907_02_T1,LC80330352016022LGN01
LC08_L2SP_036031_20160127_20200907_02_T1,LC08_L1TP_036031_20160127_20200907_02_T1,LC80360312016027LGN01,2016/01/27,T1,2, 036, 031, 036, 031,NADIR,   0.000,2020/09/07,2020/09/07,2016-01-27 17:55:14.926674,2016-01-27 17:55:46.69667,LGN,DAY,  28.69,  28.69,267,5,    9.837,    7.181,    6.723,LPGS_15.3.1c,26.21543177,155.91104783,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,12,WGS84,WGS84,41°45'35.14"N,108°25'04.80"W,42°49'19.88"N,109°46'22.76"W,42°45'29.45"N,106°58'50.95"W,40°43'52.43"N,109°48'43.99"W,40°40'18.19"N,107°06'32.22"W, 41.75976,-108.41800, 42.82219,-109.77299, 42.75818,-106.98082, 40.73123,-109.81222, 40.67172,-107.10895,LC08_L2SP_036031_20160127_20200907_02_T1,LC80360312016027LGN01
LC08_L2SP_036033_20160127_20200907_02_T1,LC08_L1TP_036033_20160127_20200907_02_T1,LC80360332016027LGN01,2016/01/27,T1,2, 036, 033, 036, 033,NADIR,   0.000,2020/09/07,2020/09/07,2016-01-27 17:56:02.700277,2016-01-27 17:56:34.470273,LGN,DAY,   4.76,   4.76,948,5,    7.557,    5.170,    5.511,LPGS_15.3.1c,28.58198532,154.57636841,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,12,WGS84,WGS84,38°54'16.02"N,109°19'37.88"W,39°57'39.96"N,110°38'38.62"W,39°55'18.59"N,107°57'44.89"W,37°51'38.02"N,110°39'15.84"W,37°49'26.80"N,108°03'01.98"W, 38.90445,-109.32719, 39.96110,-110.64406, 39.92183,-107.96247, 37.86056,-110.65440, 37.82411,-108.05055,LC08_L2SP_036033_20160127_20200907_02_T1,LC80360332016027LGN01
LC08_L2SP_036034_20160127_20200907_02_T1,LC08_L1TP_036034_20160127_20200907_02_T1,LC80360342016027LGN01,2016/01/27,T1,2, 036, 034, 036, 034,NADIR,   0.000,2020/09/07,2020/09/07,2016-01-27 17:56:26.591314,2016-01-27 17:56:58.36131,LGN,DAY,   2.62,   2.62,1016,5,    8.425,    5.917,    5.997,LPGS_15.3.1c,29.75588367,153.89077753,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,12,WGS84,WGS84,37°28'27.70"N,109°45'38.66"W,38°31'43.97"N,111°03'38.92"W,38°30'02.41"N,108°25'44.44"W,36°25'30.32"N,111°03'32.83"W,36°23'56.11"N,108°30'00"W, 37.47436,-109.76074, 38.52888,-111.06081, 38.50067,-108.42901, 36.42509,-111.05912, 36.39892,-108.50000,LC08_L2SP_036034_20160127_20200907_02_T1,LC80360342016027LGN01
LC08_L2SP_034031_20160129_20200907_02_T1,LC08_L1TP_034031_20160129_20200907_02_T1,LC80340312016029LGN01,2016/01/29,T1,2, 034, 031, 034, 031,NADIR,   0.000,2020/09/07,2020/09/07,2016-01-29 17:42:52.819307,2016-01-29 17:43:24.589304,LGN,DAY,   6.64,   6.64,476,5,    7.919,    5.844,    5.345,LPGS_15.3.1c,26.68212147,155.62550308,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,13,WGS84,WGS84,41°45'35.14"N,105°19'41.52"W,42°48'35.21"N,106°45'49.28"W,42°49'05.41"N,103°54'31.86"W,40°40'33.89"N,106°42'22.43"W,40°41'01.93"N,103°56'39.88"W, 41.75976,-105.32820, 42.80978,-106.76369, 42.81817,-103.90885, 40.67608,-106.70623, 40.68387,-103.94441,LC08_L2SP_034031_20160129_20200907_02_T1,LC80340312016029LGN01
LC08_L2SP_034032_20160129_20200907_02_T1,LC08_L1TP_034032_20160129_20200907_02_T1,LC80340322016029LGN01,2016/01/29,T1,2, 034, 032, 034, 032,NADIR,   0.000,2020/09/07,2020/09/07,2016-01-29 17:43:16.706109,2016-01-29 17:43:48.476105,LGN,DAY,  29.43,  29.43,494,5,    6.903,    4.623,    5.126,LPGS_15.3.1c,27.86412760,154.95175965,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,13,WGS84,WGS84,40°19'58.48"N,105°47'24.90"W,41°22'42.13"N,107°12'05.72"W,41°23'52.48"N,104°24'23.98"W,39°14'31.16"N,107°07'59.70"W,39°15'36.43"N,104°25'30.32"W, 40.33291,-105.79025, 41.37837,-107.20159, 41.39791,-104.40666, 39.24199,-107.13325, 39.26012,-104.42509,LC08_L2SP_034032_20160129_20200907_02_T1,LC80340322016029LGN01
LC08_L2SP_034033_20160129_20200907_02_T1,LC08_L1TP_034033_20160129_20200907_02_T1,LC80340332016029LGN01,2016/01/29,T1,2, 034, 033, 034, 033,NADIR,   0.000,2020/09/07,2020/09/07,2016-01-29 17:43:40.59291,2016-01-29 17:44:12.362907,LGN,DAY,  12.77,  12.77,537,5,    7.273,    4.891,    5.383,LPGS_15.3.1c,29.03991121,154.26706007,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,13,WGS84,WGS84,38°54'16.09"N,106°14'14.35"W,39°56'53.23"N,107°37'31.98"W,39°58'40.12"N,104°53'23.68"W,37°48'32.98"N,107°32'52.62"W,37°50'12.05"N,104°53'35.41"W, 38.90447,-106.23732, 39.94812,-107.62555, 39.97781,-104.88991, 37.80916,-107.54795, 37.83668,-104.89317,LC08_L2SP_034033_20160129_20200907_02_T1,LC80340332016029LGN01
LC08_L2SP_034034_20160129_20200907_02_T1,LC08_L1TP_034034_20160129_20200907_02_T1,LC80340342016029LGN01,2016/01/29,T1,2, 034, 034, 034, 034,NADIR,   0.000,2020/09/07,2020/09/07,2016-01-29 17:44:04.479712,2016-01-29 17:44:36.249708,LGN,DAY,   1.12,   1.12,308,5,    9.282,    6.172,    6.932,LPGS_15.3.1c,30.20883570,153.56893496,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,13,WGS84,WGS84,37°28'28.74"N,106°40'14.88"W,38°30'49.79"N,108°02'13.31"W,38°33'09.72"N,105°21'12.53"W,36°22'30.32"N,107°57'06.16"W,36°24'39.89"N,105°20'36.71"W, 37.47465,-106.67080, 38.51383,-108.03703, 38.55270,-105.35348, 36.37509,-107.95171, 36.41108,-105.34353,LC08_L2SP_034034_20160129_20200907_02_T1,LC80340342016029LGN01
LC08_L2SP_034035_20160129_20200907_02_T1,LC08_L1TP_034035_20160129_20200907_02_T1,LC80340352016029LGN01,2016/01/29,T1,2, 034, 035, 034, 035,NADIR,   0.000,2020/09/07,2020/09/07,2016-01-29 17:44:28.366513,2016-01-29 17:45:00.13651,LGN,DAY,   0.86,   0.86,718,5,    6.696,    4.509,    4.950,LPGS_15.3.1c,31.37043718,152.85506392,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,13,WGS84,WGS84,36°02'36.60"N,107°05'30.52"W,37°04'51.92"N,108°26'15.79"W,37°07'41.66"N,105°48'09.65"W,34°56'14.17"N,108°20'44.77"W,34°58'51.13"N,105°46'52.21"W, 36.04350,-107.09181, 37.08109,-108.43772, 37.12824,-105.80268, 34.93727,-108.34577, 34.98087,-105.78117,LC08_L2SP_034035_20160129_20200907_02_T1,LC80340352016029LGN01
LC08_L2SP_032031_20160131_20200907_02_T1,LC08_L1TP_032031_20160131_20200907_02_T1,LC80320312016031LGN01,2016/01/31,T1,2, 032, 031, 032, 031,NADIR,   0.000,2020/09/07,2020/09/07,2016-01-31 17:30:30.639945,2016-01-31 17:31:02.409941,LGN,DAY,   0.94,   0.94,481,5,    8.410,    6.147,    5.740,LPGS_15.3.1c,27.17251675,155.34298420,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,13,WGS84,WGS84,41°45'34.60"N,102°14'15.68"W,42°49'21.86"N,103°35'08.92"W,42°45'15.95"N,100°48'05.26"W,40°44'04.67"N,103°37'51.49"W,40°40'16.03"N,100°56'06.43"W, 41.75961,-102.23769, 42.82274,-103.58581, 42.75443,-100.80146, 40.73463,-103.63097, 40.67112,-100.93512,LC08_L2SP_032031_20160131_20200907_02_T1,LC80320312016031LGN01
LC08_L2SP_032032_20160131_20200907_02_T1,LC08_L1TP_032032_20160131_20200907_02_T1,LC80320322016031LGN01,2016/01/31,T1,2, 032, 032, 032, 032,NADIR,   0.000,2020/09/07,2020/09/07,2016-01-31 17:30:54.526746,2016-01-31 17:31:26.296743,LGN,DAY,  18.53,  18.53,245,5,    7.619,    5.278,    5.495,LPGS_15.3.1c,28.35030023,154.65698507,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,13,WGS84,WGS84,40°19'57.79"N,102°41'58.92"W,41°23'33.54"N,104°01'47.71"W,41°20'13.85"N,101°17'56.22"W,39°18'03.56"N,104°03'33.95"W,39°14'58.02"N,101°24'40.61"W, 40.33272,-102.69970, 41.39265,-104.02992, 41.33718,-101.29895, 39.30099,-104.05943, 39.24945,-101.41128,LC08_L2SP_032032_20160131_20200907_02_T1,LC80320322016031LGN01
LC08_L2SP_035031_20160205_20200907_02_T1,LC08_L1TP_035031_20160205_20200907_02_T1,LC80350312016036LGN01,2016/02/05,T1,2, 035, 031, 035, 031,NADIR,   0.000,2020/09/07,2020/09/07,2016-02-05 17:49:01.331182,2016-02-05 17:49:33.101178,LGN,DAY,   6.75,   6.75,414,5,    8.775,    5.945,    6.454,LPGS_15.3.1c,28.50567739,154.64617443,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,13,WGS84,WGS84,41°45'34.06"N,106°52'10.13"W,42°47'55.72"N,108°20'39.98"W,42°50'48.34"N,105°27'27.76"W,40°38'45.85"N,108°14'04.27"W,40°41'25.98"N,105°26'33.50"W, 41.75946,-106.86948, 42.79881,-108.34444, 42.84676,-105.45771, 40.64607,-108.23452, 40.69055,-105.44264,LC08_L2SP_035031_20160205_20200907_02_T1,LC80350312016036LGN01
LC08_L2SP_035032_20160205_20200907_02_T1,LC08_L1TP_035032_20160205_20200907_02_T1,LC80350322016036LGN01,2016/02/05,T1,2, 035, 032, 035, 032,NADIR,   0.000,2020/09/07,2020/09/07,2016-02-05 17:49:25.213747,2016-02-05 17:49:56.983744,LGN,DAY,  24.51,  24.51,526,5,    7.589,    5.281,    5.451,LPGS_15.3.1c,29.67258264,153.92667745,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,13,WGS84,WGS84,40°19'58.12"N,107°19'53.11"W,41°22'10.67"N,108°46'58.73"W,41°25'40.37"N,105°57'26.78"W,39°12'52.78"N,108°39'52.27"W,39°16'07.14"N,105°55'38.57"W, 40.33281,-107.33142, 41.36963,-108.78298, 41.42788,-105.95744, 39.21466,-108.66452, 39.26865,-105.92738,LC08_L2SP_035032_20160205_20200907_02_T1,LC80350322016036LGN01
